customer_id,product_id,rating
C0002,P0367,2
C0002,P0173,1
C0002,P0402,2
C0002,P0229,5
C0002,P0301,4
C0002,P0060,1
C0002,P0032,3
C0002,P0223,5
C0002,P0382,2
C0002,P0391,2
C0002,P0238,1
C0002,P0025,1
C0002,P0453,1
C0002,P0186,3
C0002,P0158,5
C0002,P0090,1
C0002,P0051,1
C0002,P0294,5
C0003,P0243,2
C0003,P0268,5
C0003,P0333,2
C0003,P0284,1
C0003,P0252,1
C0003,P0263,3
C0003,P0134,4
C0003,P0358,1
C0003,P0255,1
C0003,P0277,1
C0003,P0199,5
C0003,P0292,1
C0003,P0364,3
C0003,P0095,2
C0003,P0269,4
C0003,P0211,4
C0003,P0373,3
C0003,P0299,1
C0003,P0194,1
C0003,P0293,1
C0003,P0351,3
C0003,P0266,5
C0003,P0357,2
C0003,P0301,4
C0003,P0236,3
C0003,P0250,1
C0003,P0348,5
C0003,P0358,1
C0003,P0357,1
C0003,P0378,5
C0003,P0181,3
C0003,P0185,3
C0003,P0255,1
C0003,P0368,5
C0003,P0265,5
C0003,P0186,3
C0003,P0264,1
C0003,P0182,4
C0003,P0050,1
C0003,P0233,1
C0003,P0096,1
C0003,P0343,1
C0003,P0193,2
C0003,P0125,5
C0003,P0081,5
C0003,P0007,3
C0003,P0330,1
C0003,P0083,5
C0003,P0114,1
C0003,P0250,1
C0004,P0031,2
C0004,P0126,1
C0004,P0218,5
C0004,P0271,1
C0004,P0046,5
C0004,P0188,1
C0004,P0208,1
C0004,P0172,4
C0004,P0035,2
C0004,P0027,5
C0004,P0260,3
C0004,P0434,4
C0004,P0219,1
C0004,P0183,1
C0004,P0271,1
C0004,P0406,1
C0004,P0223,4
C0004,P0184,5
C0004,P0370,2
C0004,P0140,5
C0004,P0337,5
C0004,P0093,1
C0004,P0113,5
C0005,P0158,5
C0007,P0235,5
C0008,P0318,4
C0008,P0158,1
C0008,P0066,4
C0008,P0189,1
C0008,P0318,4
C0008,P0341,5
C0008,P0349,5
C0008,P0027,2
C0009,P0145,4
C0009,P0278,3
C0009,P0251,1
C0009,P0138,4
C0009,P0001,5
C0009,P0009,5
C0009,P0067,1
C0009,P0120,4
C0009,P0264,3
C0009,P0395,4
C0009,P0265,2
C0009,P0006,5
C0009,P0058,1
C0009,P0100,2
C0010,P0150,4
C0010,P0215,2
C0010,P0077,5
C0010,P0095,5
C0011,P0081,5
